,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
103600,103601,Twelfth Night,6.0,2.2.32,VIOLA,"How will this fadge? my master loves her dearly,"
103601,103602,Twelfth Night,6.0,2.2.33,VIOLA,"And I, poor monster, fond as much on him,"
103602,103603,Twelfth Night,6.0,2.2.34,VIOLA,"And she, mistaken, seems to dote on me."
103603,103604,Twelfth Night,6.0,2.2.35,VIOLA,"What will become of this? As I am man,"
103604,103605,Twelfth Night,6.0,2.2.36,VIOLA,"My state is desperate for my master's love,"
103605,103606,Twelfth Night,6.0,2.2.37,VIOLA,"As I am woman,--now alas the day!--"
103606,103607,Twelfth Night,6.0,2.2.38,VIOLA,What thriftless sighs shall poor Olivia breathe!
103607,103608,Twelfth Night,6.0,2.2.39,VIOLA,"O time! thou must untangle this, not I,"
103608,103609,Twelfth Night,6.0,2.2.40,VIOLA,It is too hard a knot for me to untie!
103609,103610,Twelfth Night,6.0,,VIOLA,Exit
103610,103611,Twelfth Night,6.0,,VIOLA,SCENE III. OLIVIA's house.
103611,103612,Twelfth Night,6.0,,VIOLA,Enter SIR TOBY BELCH and SIR ANDREW
103612,103613,Twelfth Night,1.0,2.3.1,SIR TOBY BELCH,"Approach, Sir Andrew: not to be abed after"
103613,103614,Twelfth Night,1.0,2.3.2,SIR TOBY BELCH,"midnight is to be up betimes, and 'diluculo"
103614,103615,Twelfth Night,1.0,2.3.3,SIR TOBY BELCH,"surgere,' thou know'st,--"
103615,103616,Twelfth Night,2.0,2.3.4,SIR ANDREW,"Nay, my troth, I know not: but I know, to be up"
103616,103617,Twelfth Night,2.0,2.3.5,SIR ANDREW,late is to be up late.
103617,103618,Twelfth Night,3.0,2.3.6,SIR TOBY BELCH,A false conclusion: I hate it as an unfilled can.
103618,103619,Twelfth Night,3.0,2.3.7,SIR TOBY BELCH,"To be up after midnight and to go to bed then, is"
103619,103620,Twelfth Night,3.0,2.3.8,SIR TOBY BELCH,early: so that to go to bed after midnight is to go
103620,103621,Twelfth Night,3.0,2.3.9,SIR TOBY BELCH,to bed betimes. Does not our life consist of the
103621,103622,Twelfth Night,3.0,2.3.10,SIR TOBY BELCH,four elements?
103622,103623,Twelfth Night,4.0,2.3.11,SIR ANDREW,"Faith, so they say, but I think it rather consists"
103623,103624,Twelfth Night,4.0,2.3.12,SIR ANDREW,of eating and drinking.
103624,103625,Twelfth Night,5.0,2.3.13,SIR TOBY BELCH,"Thou'rt a scholar, let us therefore eat and drink."
103625,103626,Twelfth Night,5.0,2.3.14,SIR TOBY BELCH,"Marian, I say! a stoup of wine!"
103626,103627,Twelfth Night,5.0,,SIR TOBY BELCH,Enter Clown
103627,103628,Twelfth Night,6.0,2.3.15,SIR ANDREW,"Here comes the fool, i' faith."
103628,103629,Twelfth Night,7.0,2.3.16,Clown,"How now, my hearts! did you never see the picture"
103629,103630,Twelfth Night,7.0,2.3.17,Clown,of 'we three'?
103630,103631,Twelfth Night,8.0,2.3.18,SIR TOBY BELCH,"Welcome, ass. Now let's have a catch."
103631,103632,Twelfth Night,9.0,2.3.19,SIR ANDREW,"By my troth, the fool has an excellent breast. I"
103632,103633,Twelfth Night,9.0,2.3.20,SIR ANDREW,"had rather than forty shillings I had such a leg,"
103633,103634,Twelfth Night,9.0,2.3.21,SIR ANDREW,"and so sweet a breath to sing, as the fool has. In"
103634,103635,Twelfth Night,9.0,2.3.22,SIR ANDREW,"sooth, thou wast in very gracious fooling last"
103635,103636,Twelfth Night,9.0,2.3.23,SIR ANDREW,"night, when thou spokest of Pigrogromitus, of the"
103636,103637,Twelfth Night,9.0,2.3.24,SIR ANDREW,Vapians passing the equinoctial of Queubus: 'twas
103637,103638,Twelfth Night,9.0,2.3.25,SIR ANDREW,"very good, i' faith. I sent thee sixpence for thy"
103638,103639,Twelfth Night,9.0,2.3.26,SIR ANDREW,leman: hadst it?
103639,103640,Twelfth Night,10.0,2.3.27,Clown,"I did impeticos thy gratillity, for Malvolio's nose"
103640,103641,Twelfth Night,10.0,2.3.28,Clown,"is no whipstock: my lady has a white hand, and the"
103641,103642,Twelfth Night,10.0,2.3.29,Clown,Myrmidons are no bottle-ale houses.
103642,103643,Twelfth Night,11.0,2.3.30,SIR ANDREW,"Excellent! why, this is the best fooling, when all"
103643,103644,Twelfth Night,11.0,2.3.31,SIR ANDREW,"is done. Now, a song."
103644,103645,Twelfth Night,12.0,2.3.32,SIR TOBY BELCH,"Come on, there is sixpence for you: let's have a song."
103645,103646,Twelfth Night,13.0,2.3.33,SIR ANDREW,There's a testril of me too: if one knight give a--
103646,103647,Twelfth Night,14.0,2.3.34,Clown,"Would you have a love-song, or a song of good life?"
103647,103648,Twelfth Night,15.0,2.3.35,SIR TOBY BELCH,"A love-song, a love-song."
103648,103649,Twelfth Night,16.0,2.3.36,SIR ANDREW,"Ay, ay: I care not for good life."
103649,103650,Twelfth Night,17.0,2.3.37,Clown,[Sings]
103650,103651,Twelfth Night,17.0,2.3.38,Clown,"O mistress mine, where are you roaming?"
103651,103652,Twelfth Night,17.0,2.3.39,Clown,"O, stay and hear, your true love's coming,"
